uid,home,away,start_msk,start_utc,text_url,source
897603,"Ак Барс","Амур","2025-10-03T13:01:00+03:00","2025-10-03T10:01:00+00:00","https://text.khl.ru/text/897603.html","text"
897601,"ХК Сочи","Адмирал","2025-10-03T15:19:00+03:00","2025-10-03T12:19:00+00:00","https://text.khl.ru/text/897601.html","text"
897602,"Спартак","СКА","2025-10-03T19:00:00+03:00","2025-10-03T16:00:00+00:00","https://text.khl.ru/text/897602.html","text"
897606,"ЦСКА","Металлург Мг","2025-10-03T21:48:00+03:00","2025-10-03T18:48:00+00:00","https://text.khl.ru/text/897606.html","text"
897608,"Драконы","Трактор","2025-10-04T08:26:00+03:00","2025-10-04T05:26:00+00:00","https://text.khl.ru/text/897608.html","text"
897607,"Нефтехимик","Автомобилист","2025-10-04T10:33:00+03:00","2025-10-04T07:33:00+00:00","https://text.khl.ru/text/897607.html","text"
897610,"Салават Юлаев","ХК Сочи","2025-10-05T00:32:00+03:00","2025-10-04T21:32:00+00:00","https://text.khl.ru/text/897610.html","text"
897615,"Лада","Адмирал","2025-10-05T06:20:00+03:00","2025-10-05T03:20:00+00:00","https://text.khl.ru/text/897615.html","text"
897611,"Торпедо","Динамо М","2025-10-05T07:51:00+03:00","2025-10-05T04:51:00+00:00","https://text.khl.ru/text/897611.html","text"
897614,"Ак Барс","Амур","2025-10-05T10:52:00+03:00","2025-10-05T07:52:00+00:00","https://text.khl.ru/text/897614.html","text"
897612,"Сибирь","Барыс","2025-10-05T13:30:00+03:00","2025-10-05T10:30:00+00:00","https://text.khl.ru/text/897612.html","text"
897609,"Спартак","Металлург Мг","2025-10-05T15:41:00+03:00","2025-10-05T12:41:00+00:00","https://text.khl.ru/text/897609.html","text"
897613,"ЦСКА","Северсталь","2025-10-05T22:17:00+03:00","2025-10-05T19:17:00+00:00","https://text.khl.ru/text/897613.html","text"
897617,"Авангард","Автомобилист","2025-10-06T03:14:00+03:00","2025-10-06T00:14:00+00:00","https://text.khl.ru/text/897617.html","text"
897618,"Локомотив","СКА","2025-10-06T10:14:00+03:00","2025-10-06T07:14:00+00:00","https://text.khl.ru/text/897618.html","text"
897616,"Динамо Мн","Трактор","2025-10-06T21:22:00+03:00","2025-10-06T18:22:00+00:00","https://text.khl.ru/text/897616.html","text"
897620,"Нефтехимик","Амур","2025-10-07T01:53:00+03:00","2025-10-06T22:53:00+00:00","https://text.khl.ru/text/897620.html","text"
897621,"Ак Барс","Барыс","2025-10-07T03:46:00+03:00","2025-10-07T00:46:00+00:00","https://text.khl.ru/text/897621.html","text"
897619,"Спартак","Драконы","2025-10-07T08:40:00+03:00","2025-10-07T05:40:00+00:00","https://text.khl.ru/text/897619.html","text"
897623,"Лада","ХК Сочи","2025-10-07T09:45:00+03:00","2025-10-07T06:45:00+00:00","https://text.khl.ru/text/897623.html","text"
897622,"Торпедо","Металлург Мг","2025-10-07T10:49:00+03:00","2025-10-07T07:49:00+00:00","https://text.khl.ru/text/897622.html","text"
897624,"Автомобилист","СКА","2025-10-08T17:00:00+03:00","2025-10-08T14:00:00+00:00","https://text.khl.ru/text/897624.html","text"
897625,"Динамо М","Салават Юлаев","2025-10-08T23:52:00+03:00","2025-10-08T20:52:00+00:00","https://text.khl.ru/text/897625.html","text"
897626,"Нефтехимик","Амур","2025-10-09T12:47:00+03:00","2025-10-09T09:47:00+00:00","https://text.khl.ru/text/897626.html","text"
897629,"Северсталь","ХК Сочи","2025-10-09T17:53:00+03:00","2025-10-09T14:53:00+00:00","https://text.khl.ru/text/897629.html","text"
897627,"Драконы","Динамо Мн","2025-10-09T19:40:00+03:00","2025-10-09T16:40:00+00:00","https://text.khl.ru/text/897627.html","text"
897628,"Трактор","Барыс","2025-10-09T22:48:00+03:00","2025-10-09T19:48:00+00:00","https://text.khl.ru/text/897628.html","text"
897633,"Лада","Сибирь","2025-10-10T09:57:00+03:00","2025-10-10T06:57:00+00:00","https://text.khl.ru/text/897633.html","text"
897634,"Динамо М","ЦСКА","2025-10-10T17:11:00+03:00","2025-10-10T14:11:00+00:00","https://text.khl.ru/text/897634.html","text"
897630,"Автомобилист","Авангард","2025-10-10T17:48:00+03:00","2025-10-10T14:48:00+00:00","https://text.khl.ru/text/897630.html","text"
897632,"Спартак","Салават Юлаев","2025-10-10T19:30:00+03:00","2025-10-10T16:30:00+00:00","https://text.khl.ru/text/897632.html","text"
897631,"Металлург Мг","Торпедо","2025-10-10T22:30:00+03:00","2025-10-10T19:30:00+00:00","https://text.khl.ru/text/897631.html","text"
897636,"Трактор","Локомотив","2025-10-11T16:11:00+03:00","2025-10-11T13:11:00+00:00","https://text.khl.ru/text/897636.html","text"
897549,"Драконы","Динамо Мн","2025-10-11T17:00:00+03:00","2025-10-11T14:00:00+00:00","https://text.khl.ru/text/897549.html","text"
897637,"Нефтехимик","Сибирь","2025-10-12T05:09:00+03:00","2025-10-12T02:09:00+00:00","https://text.khl.ru/text/897637.html","text"
897639,"Барыс","Торпедо","2025-10-12T08:21:00+03:00","2025-10-12T05:21:00+00:00","https://text.khl.ru/text/897639.html","text"
897640,"ЦСКА","Ак Барс","2025-10-12T14:27:00+03:00","2025-10-12T11:27:00+00:00","https://text.khl.ru/text/897640.html","text"
897638,"Металлург Мг","Авангард","2025-10-12T17:52:00+03:00","2025-10-12T14:52:00+00:00","https://text.khl.ru/text/897638.html","text"
897642,"Северсталь","Локомотив","2025-10-13T13:09:00+03:00","2025-10-13T10:09:00+00:00","https://text.khl.ru/text/897642.html","text"
897641,"СКА","Автомобилист","2025-10-13T16:11:00+03:00","2025-10-13T13:11:00+00:00","https://text.khl.ru/text/897641.html","text"
897644,"Динамо Мн","Торпедо","2025-10-14T10:58:00+03:00","2025-10-14T07:58:00+00:00","https://text.khl.ru/text/897644.html","text"
897645,"Салават Юлаев","Ак Барс","2025-10-14T13:38:00+03:00","2025-10-14T10:38:00+00:00","https://text.khl.ru/text/897645.html","text"
897643,"Барыс","Сибирь","2025-10-14T15:01:00+03:00","2025-10-14T12:01:00+00:00","https://text.khl.ru/text/897643.html","text"
897646,"Трактор","Авангард","2025-10-14T22:43:00+03:00","2025-10-14T19:43:00+00:00","https://text.khl.ru/text/897646.html","text"
897661,"Драконы","Динамо М","2025-10-14T23:01:00+03:00","2025-10-14T20:01:00+00:00","https://text.khl.ru/text/897661.html","text"
897649,"Амур","Спартак","2025-10-15T10:43:00+03:00","2025-10-15T07:43:00+00:00","https://text.khl.ru/text/897649.html","text"
897647,"Адмирал","Лада","2025-10-15T11:40:00+03:00","2025-10-15T08:40:00+00:00","https://text.khl.ru/text/897647.html","text"
897650,"Северсталь","Автомобилист","2025-10-15T14:41:00+03:00","2025-10-15T11:41:00+00:00","https://text.khl.ru/text/897650.html","text"
897648,"СКА","Нефтехимик","2025-10-15T18:11:00+03:00","2025-10-15T15:11:00+00:00","https://text.khl.ru/text/897648.html","text"
